filename,width,height,class,xmin,ymin,xmax,ymax
Ew6h-CuVIAEXaGG_jpg.rf.0014d1fde4df2b1d25dbb57d464929fb.jpg,640,640,Uncleaned Floor,0,116,448,610
Ew6h-CuVIAEXaGG_jpg.rf.0014d1fde4df2b1d25dbb57d464929fb.jpg,640,640,Stain,78,162,332,368
Ew6h-CuVIAEXaGG_jpg.rf.0014d1fde4df2b1d25dbb57d464929fb.jpg,640,640,Stain,192,255,243,276
550016647962521676128723753116-3401-4063-1676503929_jpg.rf.0bbf21ad378ba1e11159d567f8872af6.jpg,640,640,Uncleaned Floor,0,421,541,639
550016647962521676128723753116-3401-4063-1676503929_jpg.rf.0bbf21ad378ba1e11159d567f8872af6.jpg,640,640,Uncleaned Floor,0,0,573,486
Terracotta-Tiled-Floor-Salisbury-Before-Cleaning-0325_jpg.rf.056edbca133981e743628a1541d155c2.jpg,640,640,Rusty Pipes,216,0,342,96
Terracotta-Tiled-Floor-Salisbury-Before-Cleaning-0325_jpg.rf.056edbca133981e743628a1541d155c2.jpg,640,640,Stain,0,76,639,639
Pay_Toilet-Squatty_Potty-Red_Fort-Delhi-India-Greg_Goodman-AdventuresofaGoodMan-1-min_jpg.rf.1f551455ba96c9d54ef0cc158f9dc157.jpg,640,640,Rusty Pipes,306,203,334,381
Pay_Toilet-Squatty_Potty-Red_Fort-Delhi-India-Greg_Goodman-AdventuresofaGoodMan-1-min_jpg.rf.1f551455ba96c9d54ef0cc158f9dc157.jpg,640,640,Uncleaned Floor,53,357,499,638
Pay_Toilet-Squatty_Potty-Red_Fort-Delhi-India-Greg_Goodman-AdventuresofaGoodMan-1-min_jpg.rf.1f551455ba96c9d54ef0cc158f9dc157.jpg,640,640,Uncleaned Floor,3,1,623,638
Pay_Toilet-Squatty_Potty-Red_Fort-Delhi-India-Greg_Goodman-AdventuresofaGoodMan-1-min_jpg.rf.1f551455ba96c9d54ef0cc158f9dc157.jpg,640,640,Uncleaned Floor,165,0,544,363
Pay_Toilet-Squatty_Potty-Red_Fort-Delhi-India-Greg_Goodman-AdventuresofaGoodMan-1-min_jpg.rf.1f551455ba96c9d54ef0cc158f9dc157.jpg,640,640,Uncleaned Floor,0,0,210,637
